#File format: word,sPoint,nPoint,yPoint

#Слова Саёри
счастье,3,2,1
грусть,3,2,1
смерть,3,1,2
трагедия,3,1,2
одиночество,3,1,2
любовь,3,2,1
приключение,3,2,1
сладкий,3,2,1
возбуждение,3,2,1
фейерверк,3,2,1
романтика,3,2,1
слёзы,3,1,2
депрессия,3,1,2
сердце,3,2,1
свадьба,3,2,1
страсть,3,2,1
детство,3,2,1
веселье,3,2,1
цвет,3,2,1
надежда,3,1,2
друзья,3,2,1
семья,3,2,1
вечеринка,3,2,1
каникулы,3,2,1
ленивая,3,2,1
мечта,3,1,2
боль,3,1,2
праздник,3,2,1
кровать,3,2,1
пух,3,2,1
стыд,3,1,2
страх,3,1,2
тепло,3,2,1
цветок,3,2,1
утешение,3,2,1
танцы,3,2,1
петь,3,2,1
плакать,3,1,2
смеяться,3,2,1
мрачный,3,1,2
солнечный,3,2,1
тучка,3,2,1
спокойный,3,1,2
глупый,3,2,1
летающий,3,2,1
замечательный,3,2,1
неразделённая,3,1,2
роза,3,1,2
вместе,3,2,1
обещаю,3,2,1
очарование,3,2,1
красота,3,2,1
ободрение,3,2,1
улыбка,3,2,1
разбитое,3,1,2
драгоценная,3,2,1
молитва,3,1,2
неуклюжий,3,2,1
прости,3,1,2
природа,3,2,1
океан,3,2,1
ослеплять,3,2,1
особенный,3,2,1
музыка,3,2,1
счастливчик,3,2,1
невезение,3,1,2
громко,3,2,1
безмятежно,3,1,2
восторг,3,1,2
закат,3,2,1
светлячки,3,2,1
радуга,3,2,1
ранить,3,1,2
игра,3,2,1
искорка,3,2,1
рубцы,3,1,2
пусто,3,1,2
невероятно,3,2,1
горе,3,1,2
обнимать,3,1,2
незаурядный,3,2,1
потрясающий,3,2,1
поражение,3,1,2
безнадёжно,3,1,2
страдание,3,1,2
сокровище,3,2,1
блаженство,3,2,1
воспоминания,3,2,1

#Слова Нацуки
милый,2,3,1
воздушный,2,3,1
чистый,1,3,2
конфета,2,3,1
шопинг,2,3,1
щеночек,2,3,1
котёнок,2,3,1
облака,2,3,1
помада,1,3,2
парфе,2,3,1
клубника,2,3,1
розовый,2,3,1
шоколад,2,3,1
сердцебиение,1,3,2
поцелуй,1,3,2
мелодия,2,3,1
лента,2,3,1
прыгучий,2,3,1
доки-доки,2,3,1
кавай,2,3,1
юбка,2,3,1
щёки,2,3,1
email,2,3,1
липучка,2,3,1
подвижная,2,3,1
яркий,2,3,1
кусь,2,3,1 
фантазия,1,3,2
сахар,2,3,1
хихикать,2,3,1
зефир,2,3,1
подпрыгивать,2,3,1
прогуливать,2,3,1
покой,2,3,1
вертящийся,2,3,1
вращать,2,3,1
леденец,2,3,1
фу,2,3,1
пузырьки,2,3,1
шёпот,2,3,1
лето,2,3,1
водопад,1,3,2
купальник,2,3,1
ваниль,2,3,1
наушники,2,3,1
игры,2,3,1
носки,2,3,1
волосы,2,3,1
площадка,2,3,1
пеньюар,1,3,2
одеяло,1,3,2
молоко,2,3,1
надуться,2,3,1
ярость,2,3,1
папа,2,3,1
валентинка,2,3,1
мышь,1,3,2
свист,2,3,1
бип,2,3,1
зайчик,2,3,1
аниме,2,3,1
прыгать,2,3,1

#Слова Юри
решимость,1,1,3
суицид,2,1,3
воображение,2,1,3
скрытный,2,1,3
живучесть,1,1,3
существование,2,1,3
лучезарный,1,1,3
багряный,1,1,3
смерч,1,1,3
послеобраз,1,1,3
головокружение,1,1,3
дезориентированный,1,1,3
сущность,2,1,3
внешний,2,1,3
космос,2,1,3
смятение,1,1,3
загрязнение,1,1,3
интеллектуальный,1,1,3
анализ,1,1,3
энтропия,1,1,3
оживлённый,1,1,3
сверхъестественное,2,1,3
несовпадающий,1,1,3
гнев,2,1,3
ниспосланный,2,1,3
резня,2,1,3
философия,1,1,3
неустойчивый,1,1,3
упорный,1,1,3
аура,2,1,3
нестабильный,1,1,3
преисподняя,2,1,3
неспособный,2,1,3
судьба,2,1,3
непогрешимый,1,1,3
агонизирующий,2,1,3
противоречие,1,1,3
неконтролируемый,2,1,3
предельный,1,1,3
избегать,2,1,3
сон,2,2,3
катастрофа,2,1,3
отчётливый,2,1,3
трепещущий,1,2,3
вопрос,1,2,3
терзать,2,1,3
суждение,1,1,3
клетка,1,2,3
взрываться,1,2,3
удовольствие,1,2,3
вожделение,1,2,3
ощущение,1,2,3
кульминация,1,2,3
электричество,1,2,3
отречься,1,1,3
презирать,2,1,3
бесконечный,2,1,3
вечность,2,1,3
время,2,1,3
вселенная,2,1,3
нескончаемый,2,1,3
дождевые капли,2,1,3
домогаться,1,1,3
необузданный,1,1,3
пейзаж,2,1,3
портрет,2,1,3
поездка,2,1,3
скудный,1,1,3
беспокойство,2,1,3
пугающий,2,1,3
ужас,2,1,3
меланхолия,2,1,3
проницательность,2,1,3
искупить,2,1,3
дыхание,1,2,3
пленный,2,1,3
желание,1,2,3
кладбище,2,1,3
